Acceleration,TopSpeed,PriceinGermany
7.9,144,29990
2.8,260,186336
14,123,43433
8.9,160,31960
6.8,180,66300
7.3,157,38350
7.3,150,39000
8.9,160,47541
8.7,150,30040
6.9,160,42600
3.3,250,138200
11.4,135,31990
9.7,165,35350
2.1,410,215000
8.1,150,30450
9,145,33850
8.9,160,32700
9,160,41900
5.1,217,59965
3.7,241,66965
5.1,220,93635
8.1,150,29000
8.2,140,31990
9.6,160,34995
7.9,160,41995
9.5,140,33990
8.5,150,35450
6.8,190,69100
3.2,260,153016
8.3,145,38000
7.5,190,53500
5.5,190,64000
4,250,106487
4,250,113008
12.1,160,71388
9.7,140,34490
6.9,180,46900
7,180,54475
6.3,180,54000
5.8,180,62900
6.8,190,71350
7,180,45000
5,190,55000
3,210,75000
7.5,160,47550
5.7,190,58300
4.5,210,93800
4.5,210,96050
7.5,190,62000
9,150,30560
8.5,150,34110
8.7,160,38850
8.6,160,43950
6.9,160,47000
6.2,180,50000
9,150,27560
9.7,150,34640
4.8,200,77300
9,160,43900
7.5,160,45000
7.6,160,50000
5.9,200,50000
5.7,200,57500
5.1,200,65000
7.3,160,36495
8.5,160,44450
3.2,270,140000
3.4,250,95000
4.2,200,80000
5.6,225,43560
3.3,261,58560
9.5,135,23560
5.1,180,66069
7.8,167,39090
9.8,155,35290
12.1,130,51440
12.1,130,54625
13.1,130,55900
13.1,130,56690
5.2,185,59550
5.4,230,83520
5.4,230,89244
3.2,250,86990
2.1,322,126990
3.9,250,95990
2.6,262,116990
7.3,150,32500
9,160,38450
4.1,245,99800
4.7,180,62050
9.9,155,35650
7.9,167,41850
4.1,240,111842
3.3,250,154444
2.9,250,187746
3.5,260,65990
6.1,200,77300
4.6,200,98000
8.5,185,41900
7.4,185,45100
5.2,185,48900
8.5,185,44990
7.5,185,54990
5.4,185,56000
6.2,210,106374
4.3,210,135529
5.6,225,43560
7.4,160,46500
7.4,160,49500
4.7,205,52500
10.9,160,36950
8.5,160,47500
6.2,180,53600
6.2,180,55600
6.5,160,60000
6.2,180,50415
7.3,160,36770
6.6,160,39000
7,160,43000
3.9,225,69900
4.9,180,59250
8,160,38000
11.7,135,37590
11.7,135,42590
